CpG island 	 4714 .. 5242 	 size=529 
CpG island 	 751088 .. 751675 	 size=588 
CpG island 	 755496 .. 755737 	 size=242 
CpG island 	 757531 .. 757828 	 size=298 
CpG island 	 760587 .. 760971 	 size=385 
CpG island 	 763070 .. 763454 	 size=385 
CpG island 	 769628 .. 769887 	 size=260 
CpG island 	 779682 .. 779930 	 size=249 
CpG island 	 783279 .. 783537 	 size=259 
CpG island 	 794049 .. 794255 	 size=207 
CpG island 	 798279 .. 798633 	 size=355 
CpG island 	 800635 .. 800982 	 size=348 
CpG island 	 800984 .. 801319 	 size=336 
CpG island 	 801556 .. 801763 	 size=208 
CpG island 	 803248 .. 803447 	 size=200 
CpG island 	 804237 .. 804559 	 size=323 
CpG island 	 807302 .. 807572 	 size=271 
CpG island 	 808085 .. 809300 	 size=1216 
CpG island 	 814422 .. 815268 	 size=847 
CpG island 	 817690 .. 818031 	 size=342 
CpG island 	 819883 .. 820306 	 size=424 
CpG island 	 824264 .. 824494 	 size=231 
CpG island 	 826584 .. 827046 	 size=463 
CpG island 	 828080 .. 828718 	 size=639 
CpG island 	 830124 .. 830324 	 size=201 
CpG island 	 831490 .. 831719 	 size=230 
CpG island 	 834597 .. 835244 	 size=648 
CpG island 	 839003 .. 839230 	 size=228 
CpG island 	 842436 .. 842806 	 size=371 
CpG island 	 852006 .. 852380 	 size=375 
CpG island 	 856345 .. 856729 	 size=385 
CpG island 	 900881 .. 901255 	 size=375 
CpG island 	 906614 .. 906938 	 size=325 
CpG island 	 907069 .. 907464 	 size=396 
CpG island 	 911337 .. 911820 	 size=484 
CpG island 	 916486 .. 916805 	 size=320 
CpG island 	 921075 .. 921391 	 size=317 
CpG island 	 928057 .. 928301 	 size=245 
CpG island 	 929984 .. 930183 	 size=200 
CpG island 	 938950 .. 939213 	 size=264 
CpG island 	 939626 .. 940007 	 size=382 
CpG island 	 946558 .. 946876 	 size=319 
CpG island 	 1007067 .. 1007325 	 size=259 
CpG island 	 1021983 .. 1022250 	 size=268 
CpG island 	 1023496 .. 1024325 	 size=830 
CpG island 	 1027911 .. 1028440 	 size=530 
CpG island 	 1036625 .. 1036975 	 size=351 
CpG island 	 1046721 .. 1046921 	 size=201 
CpG island 	 1050374 .. 1050757 	 size=384 
CpG island 	 1057871 .. 1058261 	 size=391 
CpG island 	 1059481 .. 1059969 	 size=489 
CpG island 	 1066709 .. 1067069 	 size=361 
CpG island 	 1069801 .. 1070344 	 size=544 
CpG island 	 1081252 .. 1081478 	 size=227 
CpG island 	 1102447 .. 1102762 	 size=316 
CpG island 	 1110215 .. 1110437 	 size=223 
CpG island 	 1110611 .. 1110960 	 size=350 
CpG island 	 1113366 .. 1113655 	 size=290 
CpG island 	 1116976 .. 1117348 	 size=373 
CpG island 	 1117370 .. 1117877 	 size=508 
CpG island 	 1129611 .. 1129814 	 size=204 
CpG island 	 1131832 .. 1132056 	 size=225 
CpG island 	 1132505 .. 1132874 	 size=370 
CpG island 	 1140583 .. 1140863 	 size=281 
CpG island 	 1141115 .. 1141365 	 size=251 
CpG island 	 1161510 .. 1161709 	 size=200 
CpG island 	 1184030 .. 1184313 	 size=284 
CpG island 	 1198026 .. 1198755 	 size=730 
CpG island 	 1198830 .. 1199501 	 size=672 
CpG island 	 1218298 .. 1218692 	 size=395 
CpG island 	 1231423 .. 1231713 	 size=291 
CpG island 	 1232086 .. 1232409 	 size=324 
CpG island 	 1244487 .. 1244847 	 size=361 
CpG island 	 1246803 .. 1247505 	 size=703 
CpG island 	 1248860 .. 1249063 	 size=204 
CpG island 	 1250602 .. 1251214 	 size=613 
CpG island 	 1267086 .. 1267315 	 size=230 
CpG island 	 1275764 .. 1276205 	 size=442 
CpG island 	 1296118 .. 1296332 	 size=215 
CpG island 	 1333239 .. 1333803 	 size=565 
CpG island 	 1338931 .. 1339399 	 size=469 
CpG island 	 1352967 .. 1353166 	 size=200 
CpG island 	 1377274 .. 1377541 	 size=268 
CpG island 	 1407775 .. 1407991 	 size=217 
CpG island 	 1421978 .. 1422650 	 size=673 
CpG island 	 1422701 .. 1423411 	 size=711 
CpG island 	 1423488 .. 1423690 	 size=203 
CpG island 	 1439663 .. 1439865 	 size=203 
CpG island 	 1440070 .. 1440495 	 size=426 
CpG island 	 1441612 .. 1441885 	 size=274 
CpG island 	 1446791 .. 1447234 	 size=444 
CpG island 	 1468524 .. 1468949 	 size=426 
CpG island 	 1469021 .. 1469270 	 size=250 
CpG island 	 1469280 .. 1469912 	 size=633 
CpG island 	 1471226 .. 1471595 	 size=370 
CpG island 	 1471752 .. 1472104 	 size=353 
CpG island 	 1472191 .. 1472510 	 size=320 
CpG island 	 1472607 .. 1473360 	 size=754 
CpG island 	 1473927 .. 1474219 	 size=293 
CpG island 	 1474332 .. 1474686 	 size=355 
CpG island 	 1474830 .. 1475057 	 size=228 
CpG island 	 1475622 .. 1475891 	 size=270 
CpG island 	 1475922 .. 1476266 	 size=345 
CpG island 	 1476295 .. 1476590 	 size=296 
CpG island 	 1476764 .. 1477050 	 size=287 
CpG island 	 1477176 .. 1477760 	 size=585 
CpG island 	 1479274 .. 1479480 	 size=207 
CpG island 	 1479541 .. 1480013 	 size=473 
CpG island 	 1480305 .. 1480524 	 size=220 
CpG island 	 1481297 .. 1481601 	 size=305 
CpG island 	 1483699 .. 1483898 	 size=200 
CpG island 	 1509537 .. 1509746 	 size=210 
CpG island 	 1534789 .. 1534988 	 size=200 
CpG island 	 1542503 .. 1542899 	 size=397 
CpG island 	 1551107 .. 1551543 	 size=437 
CpG island 	 1566246 .. 1566494 	 size=249 
CpG island 	 1583083 .. 1583533 	 size=451 
CpG island 	 1592623 .. 1592848 	 size=226 
CpG island 	 1593020 .. 1593245 	 size=226 
CpG island 	 1593983 .. 1594356 	 size=374 
CpG island 	 1594384 .. 1594707 	 size=324 
CpG island 	 1600931 .. 1601230 	 size=300 
CpG island 	 1606564 .. 1607043 	 size=480 
CpG island 	 1618486 .. 1618715 	 size=230 
CpG island 	 1619046 .. 1619412 	 size=367 
CpG island 	 1619938 .. 1620242 	 size=305 
CpG island 	 1629265 .. 1629762 	 size=498 
CpG island 	 1637129 .. 1637419 	 size=291 
CpG island 	 1664372 .. 1664743 	 size=372 
CpG island 	 1670832 .. 1671098 	 size=267 
CpG island 	 1692638 .. 1692918 	 size=281 
CpG island 	 1699933 .. 1700322 	 size=390 
CpG island 	 1707855 .. 1708331 	 size=477 
CpG island 	 1709115 .. 1709420 	 size=306 
CpG island 	 1725173 .. 1725536 	 size=364 
CpG island 	 1733535 .. 1733871 	 size=337 
CpG island 	 1776395 .. 1776597 	 size=203 
CpG island 	 1782059 .. 1782354 	 size=296 
CpG island 	 1790637 .. 1790898 	 size=262 
CpG island 	 1796520 .. 1796757 	 size=238 
CpG island 	 1810086 .. 1810450 	 size=365 
CpG island 	 1826584 .. 1826817 	 size=234 
CpG island 	 1841809 .. 1842167 	 size=359 
CpG island 	 1845870 .. 1846122 	 size=253 
CpG island 	 1848437 .. 1848679 	 size=243 
CpG island 	 1854267 .. 1854580 	 size=314 
CpG island 	 1873387 .. 1873768 	 size=382 
CpG island 	 1874245 .. 1874588 	 size=344 
CpG island 	 1878118 .. 1878626 	 size=509 
CpG island 	 1879805 .. 1880113 	 size=309 
CpG island 	 1892037 .. 1892335 	 size=299 
CpG island 	 1894275 .. 1894819 	 size=545 
CpG island 	 1906069 .. 1906414 	 size=346 
CpG island 	 1907215 .. 1907567 	 size=353 
CpG island 	 1922371 .. 1922581 	 size=211 
CpG island 	 1926662 .. 1927030 	 size=369 
CpG island 	 1938602 .. 1938939 	 size=338 
CpG island 	 1941892 .. 1942103 	 size=212 
CpG island 	 1944137 .. 1944561 	 size=425 
CpG island 	 1946670 .. 1947089 	 size=420 
CpG island 	 1959026 .. 1959305 	 size=280 
CpG island 	 1962482 .. 1962853 	 size=372 
CpG island 	 1964867 .. 1965069 	 size=203 
CpG island 	 1971246 .. 1971673 	 size=428 
CpG island 	 1975201 .. 1975696 	 size=496 
CpG island 	 1979887 .. 1980220 	 size=334 
CpG island 	 1985919 .. 1986153 	 size=235 
CpG island 	 1989530 .. 1989962 	 size=433 
CpG island 	 1991008 .. 1991365 	 size=358 
CpG island 	 1994192 .. 1994826 	 size=635 
CpG island 	 1995371 .. 1995595 	 size=225 
CpG island 	 1995917 .. 1996116 	 size=200 
CpG island 	 2003823 .. 2004025 	 size=203 
CpG island 	 2013210 .. 2013613 	 size=404 
CpG island 	 2031612 .. 2031998 	 size=387 
CpG island 	 2045299 .. 2045554 	 size=256 
CpG island 	 2060652 .. 2061060 	 size=409 
CpG island 	 2079546 .. 2079962 	 size=417 
CpG island 	 2079988 .. 2080332 	 size=345 
CpG island 	 2114045 .. 2114262 	 size=218 
CpG island 	 2155940 .. 2156212 	 size=273 
CpG island 	 2170397 .. 2170605 	 size=209 
CpG island 	 2174894 .. 2175157 	 size=264 
CpG island 	 2182196 .. 2182634 	 size=439 
CpG island 	 2187540 .. 2187749 	 size=210 
CpG island 	 2200255 .. 2200504 	 size=250 
CpG island 	 2202339 .. 2202760 	 size=422 
CpG island 	 2203546 .. 2203893 	 size=348 
CpG island 	 2208993 .. 2209197 	 size=205 
CpG island 	 2210847 .. 2211217 	 size=371 
CpG island 	 2211328 .. 2211789 	 size=462 
CpG island 	 2229639 .. 2230013 	 size=375 
CpG island 	 2234657 .. 2234979 	 size=323 
CpG island 	 2239212 .. 2239648 	 size=437 
CpG island 	 2239955 .. 2240254 	 size=300 
CpG island 	 2246366 .. 2246660 	 size=295 
CpG island 	 2249691 .. 2250170 	 size=480 
CpG island 	 2264151 .. 2264495 	 size=345 
CpG island 	 2275347 .. 2275579 	 size=233 
CpG island 	 2289005 .. 2289453 	 size=449 
CpG island 	 2290050 .. 2290432 	 size=383 
CpG island 	 2294653 .. 2295037 	 size=385 
CpG island 	 2299250 .. 2299590 	 size=341 
CpG island 	 2312118 .. 2312501 	 size=384 
CpG island 	 2315798 .. 2315998 	 size=201 
CpG island 	 2336618 .. 2336867 	 size=250 
CpG island 	 2354443 .. 2354785 	 size=343 
CpG island 	 2355133 .. 2355335 	 size=203 
CpG island 	 2358247 .. 2358540 	 size=294 
CpG island 	 2358719 .. 2358925 	 size=207 
CpG island 	 2363454 .. 2363653 	 size=200 
CpG island 	 2364115 .. 2364350 	 size=236 
CpG island 	 2368267 .. 2368699 	 size=433 
CpG island 	 2368914 .. 2369321 	 size=408 
CpG island 	 2371848 .. 2372219 	 size=372 
CpG island 	 2378671 .. 2378885 	 size=215 
CpG island 	 2379635 .. 2380361 	 size=727 
CpG island 	 2386077 .. 2386477 	 size=401 
CpG island 	 2393616 .. 2393821 	 size=206 
CpG island 	 2400329 .. 2400532 	 size=204 
CpG island 	 2405199 .. 2405567 	 size=369 
CpG island 	 2412833 .. 2413303 	 size=471 
CpG island 	 2442676 .. 2443097 	 size=422 
CpG island 	 2450063 .. 2450423 	 size=361 
CpG island 	 2451777 .. 2452038 	 size=262 
CpG island 	 2452962 .. 2453384 	 size=423 
CpG island 	 2456665 .. 2456912 	 size=248 
CpG island 	 2458624 .. 2458902 	 size=279 
CpG island 	 2462781 .. 2462984 	 size=204 
CpG island 	 2464709 .. 2464966 	 size=258 
CpG island 	 2465543 .. 2465850 	 size=308 
CpG island 	 2466097 .. 2466423 	 size=327 
CpG island 	 2479149 .. 2479356 	 size=208 
CpG island 	 2486801 .. 2487326 	 size=526 
CpG island 	 2488302 .. 2488766 	 size=465 
CpG island 	 2490413 .. 2490838 	 size=426 
CpG island 	 2496632 .. 2496876 	 size=245 
CpG island 	 2498940 .. 2499190 	 size=251 
CpG island 	 2499419 .. 2499820 	 size=402 
CpG island 	 2505558 .. 2506022 	 size=465 
CpG island 	 2507232 .. 2507627 	 size=396 
CpG island 	 2510217 .. 2510645 	 size=429 
CpG island 	 2516961 .. 2517193 	 size=233 
CpG island 	 2521936 .. 2522142 	 size=207 
CpG island 	 2524385 .. 2524623 	 size=239 
CpG island 	 2536241 .. 2536610 	 size=370 
CpG island 	 2553346 .. 2553587 	 size=242 
CpG island 	 2558152 .. 2558401 	 size=250 
CpG island 	 2573084 .. 2573395 	 size=312 
CpG island 	 2578263 .. 2578560 	 size=298 
CpG island 	 2585447 .. 2585703 	 size=257 
CpG island 	 2589606 .. 2590387 	 size=782 
CpG island 	 2592283 .. 2592598 	 size=316 
CpG island 	 2593263 .. 2593484 	 size=222 
CpG island 	 2594224 .. 2594708 	 size=485 
CpG island 	 2596755 .. 2597098 	 size=344 
CpG island 	 2601882 .. 2602170 	 size=289 
CpG island 	 2603716 .. 2604402 	 size=687 
CpG island 	 2606070 .. 2606464 	 size=395 
CpG island 	 2609236 .. 2609631 	 size=396 
CpG island 	 2613088 .. 2613302 	 size=215 
CpG island 	 2621240 .. 2621527 	 size=288 
CpG island 	 2626529 .. 2626864 	 size=336 
CpG island 	 2631488 .. 2631886 	 size=399 
CpG island 	 2637963 .. 2638347 	 size=385 
CpG island 	 2638827 .. 2639212 	 size=386 
CpG island 	 2646064 .. 2646449 	 size=386 
CpG island 	 2657943 .. 2658365 	 size=423 
CpG island 	 2658371 .. 2658704 	 size=334 
CpG island 	 2667819 .. 2668065 	 size=247 
CpG island 	 2668175 .. 2668485 	 size=311 
CpG island 	 2678245 .. 2678633 	 size=389 
CpG island 	 2701935 .. 2702389 	 size=455 
CpG island 	 2717049 .. 2717403 	 size=355 
CpG island 	 2724202 .. 2724587 	 size=386 
CpG island 	 2749390 .. 2749599 	 size=210 
CpG island 	 2771615 .. 2772066 	 size=452 
CpG island 	 2777254 .. 2777470 	 size=217 
CpG island 	 2820763 .. 2820996 	 size=234 
CpG island 	 2849825 .. 2850186 	 size=362 
CpG island 	 2857108 .. 2857490 	 size=383 
CpG island 	 2885175 .. 2885461 	 size=287 
CpG island 	 2902707 .. 2902909 	 size=203 
CpG island 	 2908188 .. 2908568 	 size=381 
CpG island 	 2970458 .. 2970762 	 size=305 
CpG island 	 2991620 .. 2991857 	 size=238 
CpG island 	 2991947 .. 2992796 	 size=850 
CpG island 	 3025117 .. 3025407 	 size=291 
CpG island 	 3032437 .. 3032748 	 size=312 
CpG island 	 3060527 .. 3061069 	 size=543 
CpG island 	 3071670 .. 3071869 	 size=200 
CpG island 	 3075184 .. 3075405 	 size=222 
CpG island 	 3079979 .. 3080396 	 size=418 
CpG island 	 3086160 .. 3086627 	 size=468 
CpG island 	 3089883 .. 3090104 	 size=222 
CpG island 	 3090347 .. 3090562 	 size=216 
CpG island 	 3091888 .. 3092143 	 size=256 
CpG island 	 3093229 .. 3093433 	 size=205 
CpG island 	 3096012 .. 3096316 	 size=305 
CpG island 	 3096500 .. 3096835 	 size=336 
CpG island 	 3097736 .. 3098018 	 size=283 
CpG island 	 3100561 .. 3100990 	 size=430 
CpG island 	 3103136 .. 3103516 	 size=381 
CpG island 	 3103882 .. 3104219 	 size=338 
CpG island 	 3104347 .. 3104934 	 size=588 
CpG island 	 3105476 .. 3106108 	 size=633 
CpG island 	 3109750 .. 3110151 	 size=402 
CpG island 	 3110715 .. 3111105 	 size=391 
CpG island 	 3112071 .. 3112272 	 size=202 
CpG island 	 3113112 .. 3113569 	 size=458 
CpG island 	 3114344 .. 3114761 	 size=418 
CpG island 	 3115378 .. 3115772 	 size=395 
CpG island 	 3118724 .. 3119088 	 size=365 
CpG island 	 3119197 .. 3119399 	 size=203 
CpG island 	 3123847 .. 3124065 	 size=219 
CpG island 	 3124131 .. 3124912 	 size=782 
CpG island 	 3124991 .. 3125525 	 size=535 
CpG island 	 3135418 .. 3136147 	 size=730 
CpG island 	 3137070 .. 3137678 	 size=609 
CpG island 	 3138171 .. 3139085 	 size=915 
CpG island 	 3139113 .. 3139363 	 size=251 
CpG island 	 3139549 .. 3140129 	 size=581 
CpG island 	 3141695 .. 3141909 	 size=215 
CpG island 	 3142101 .. 3142467 	 size=367 
CpG island 	 3142892 .. 3143098 	 size=207 
CpG island 	 3144616 .. 3145171 	 size=556 
CpG island 	 3146798 .. 3147191 	 size=394 
CpG island 	 3148548 .. 3148750 	 size=203 
CpG island 	 3150435 .. 3150670 	 size=236 
CpG island 	 3152046 .. 3152508 	 size=463 
CpG island 	 3159684 .. 3160036 	 size=353 
CpG island 	 3161087 .. 3161429 	 size=343 
CpG island 	 3164268 .. 3164468 	 size=201 
CpG island 	 3168512 .. 3169167 	 size=656 
CpG island 	 3175842 .. 3176093 	 size=252 
CpG island 	 3188139 .. 3188616 	 size=478 
CpG island 	 3190105 .. 3190594 	 size=490 
CpG island 	 3202575 .. 3202802 	 size=228 
CpG island 	 3205789 .. 3206096 	 size=308 
CpG island 	 3207637 .. 3207934 	 size=298 
CpG island 	 3208165 .. 3208683 	 size=519 
CpG island 	 3211274 .. 3211550 	 size=277 
CpG island 	 3213576 .. 3213845 	 size=270 
CpG island 	 3228409 .. 3228960 	 size=552 
CpG island 	 3229004 .. 3229829 	 size=826 
CpG island 	 3232518 .. 3232719 	 size=202 
CpG island 	 3248398 .. 3248852 	 size=455 
CpG island 	 3249701 .. 3249900 	 size=200 
CpG island 	 3250705 .. 3250912 	 size=208 
CpG island 	 3251134 .. 3251515 	 size=382 
CpG island 	 3251526 .. 3251734 	 size=209 
CpG island 	 3254791 .. 3255147 	 size=357 
CpG island 	 3256971 .. 3257369 	 size=399 
CpG island 	 3258831 .. 3259074 	 size=244 
CpG island 	 3260384 .. 3260785 	 size=402 
CpG island 	 3265443 .. 3265840 	 size=398 
CpG island 	 3266266 .. 3266711 	 size=446 
CpG island 	 3274643 .. 3274988 	 size=346 
CpG island 	 3280563 .. 3280937 	 size=375 
CpG island 	 3295464 .. 3295902 	 size=439 
CpG island 	 3300019 .. 3300351 	 size=333 
CpG island 	 3302030 .. 3302401 	 size=372 
CpG island 	 3310804 .. 3311316 	 size=513 
CpG island 	 3343187 .. 3343499 	 size=313 
CpG island 	 3345593 .. 3345988 	 size=396 
CpG island 	 3349855 .. 3350083 	 size=229 
CpG island 	 3356254 .. 3356748 	 size=495 
CpG island 	 3359150 .. 3359592 	 size=443 
CpG island 	 3361997 .. 3362370 	 size=374 
CpG island 	 3362775 .. 3363070 	 size=296 
CpG island 	 3376587 .. 3376787 	 size=201 
CpG island 	 3377504 .. 3377916 	 size=413 
CpG island 	 3382111 .. 3382498 	 size=388 
CpG island 	 3383254 .. 3383608 	 size=355 
CpG island 	 3396890 .. 3397301 	 size=412 
CpG island 	 3398675 .. 3399086 	 size=412 
CpG island 	 3399490 .. 3400013 	 size=524 
CpG island 	 3406553 .. 3406804 	 size=252 
CpG island 	 3412865 .. 3413323 	 size=459 
CpG island 	 3415649 .. 3416207 	 size=559 
CpG island 	 3479055 .. 3479412 	 size=358 
CpG island 	 3481861 .. 3482200 	 size=340 
CpG island 	 3485292 .. 3485977 	 size=686 
CpG island 	 3491726 .. 3492037 	 size=312 
CpG island 	 3501339 .. 3501749 	 size=411 
CpG island 	 3503925 .. 3504215 	 size=291 
CpG island 	 3506191 .. 3506612 	 size=422 
CpG island 	 3518310 .. 3518665 	 size=356 
CpG island 	 3541050 .. 3541301 	 size=252 
CpG island 	 3544072 .. 3544550 	 size=479 
CpG island 	 3544583 .. 3544903 	 size=321 
CpG island 	 3545375 .. 3545854 	 size=480 
CpG island 	 3548461 .. 3548674 	 size=214 
CpG island 	 3551040 .. 3551344 	 size=305 
CpG island 	 3553136 .. 3553597 	 size=462 
CpG island 	 3559047 .. 3559678 	 size=632 
CpG island 	 3562526 .. 3562907 	 size=382 
CpG island 	 3565687 .. 3566070 	 size=384 
CpG island 	 3571483 .. 3571846 	 size=364 
CpG island 	 3572914 .. 3573364 	 size=451 
CpG island 	 3578892 .. 3579242 	 size=351 
CpG island 	 3581917 .. 3582164 	 size=248 
CpG island 	 3584179 .. 3584391 	 size=213 
CpG island 	 3588185 .. 3588561 	 size=377 
CpG island 	 3590545 .. 3590952 	 size=408 
CpG island 	 3597653 .. 3598144 	 size=492 
CpG island 	 3623787 .. 3624143 	 size=357 
CpG island 	 3642415 .. 3642782 	 size=368 
CpG island 	 3654757 .. 3654974 	 size=218 
CpG island 	 3664412 .. 3664907 	 size=496 
CpG island 	 3701240 .. 3701567 	 size=328 
CpG island 	 3702066 .. 3702467 	 size=402 
CpG island 	 3709098 .. 3709424 	 size=327 
CpG island 	 3750981 .. 3751420 	 size=440 
CpG island 	 3751738 .. 3752135 	 size=398 
CpG island 	 3758728 .. 3759156 	 size=429 
CpG island 	 3762468 .. 3762754 	 size=287 
CpG island 	 3774292 .. 3774590 	 size=299 
CpG island 	 3782515 .. 3782861 	 size=347 
CpG island 	 3793156 .. 3793488 	 size=333 
CpG island 	 3798108 .. 3798484 	 size=377 
CpG island 	 3808118 .. 3808477 	 size=360 
CpG island 	 3827968 .. 3828497 	 size=530 
CpG island 	 3854921 .. 3855330 	 size=410 
CpG island 	 3868487 .. 3868756 	 size=270 
CpG island 	 3869686 .. 3869966 	 size=281 
CpG island 	 3877447 .. 3877663 	 size=217 
CpG island 	 3882176 .. 3882534 	 size=359 
CpG island 	 3896342 .. 3896896 	 size=555 
CpG island 	 3903155 .. 3903640 	 size=486 
CpG island 	 3933018 .. 3933328 	 size=311 
CpG island 	 3956946 .. 3957388 	 size=443 
CpG island 	 3960835 .. 3961205 	 size=371 
CpG island 	 3963438 .. 3963882 	 size=445 
CpG island 	 3969033 .. 3969311 	 size=279 
CpG island 	 3984489 .. 3984951 	 size=463 
CpG island 	 3988678 .. 3988982 	 size=305 
CpG island 	 4004781 .. 4005174 	 size=394 
CpG island 	 4009713 .. 4010200 	 size=488 
CpG island 	 4013390 .. 4013651 	 size=262 
CpG island 	 4017724 .. 4017971 	 size=248 
CpG island 	 4028916 .. 4029115 	 size=200 
CpG island 	 4036882 .. 4037344 	 size=463 
CpG island 	 4039171 .. 4039453 	 size=283 
CpG island 	 4040564 .. 4040778 	 size=215 
CpG island 	 4056784 .. 4057175 	 size=392 
CpG island 	 4059397 .. 4059828 	 size=432 
CpG island 	 4068300 .. 4068658 	 size=359 
CpG island 	 4079788 .. 4080171 	 size=384 
CpG island 	 4096454 .. 4096809 	 size=356 
CpG island 	 4105669 .. 4106096 	 size=428 
CpG island 	 4117773 .. 4118143 	 size=371 
CpG island 	 4122416 .. 4122731 	 size=316 
CpG island 	 4133683 .. 4133884 	 size=202 
CpG island 	 4138715 .. 4139480 	 size=766 
CpG island 	 4139867 .. 4140209 	 size=343 
CpG island 	 4162574 .. 4162962 	 size=389 
CpG island 	 4177519 .. 4177924 	 size=406 
CpG island 	 4183991 .. 4184449 	 size=459 
CpG island 	 4190138 .. 4190395 	 size=258 
CpG island 	 4194179 .. 4194379 	 size=201 
CpG island 	 4220647 .. 4221028 	 size=382 
CpG island 	 4223120 .. 4223522 	 size=403 
CpG island 	 4224549 .. 4224756 	 size=208 
CpG island 	 4235826 .. 4236027 	 size=202 
CpG island 	 4237921 .. 4238242 	 size=322 
CpG island 	 4242480 .. 4242871 	 size=392 
CpG island 	 4247246 .. 4247458 	 size=213 
CpG island 	 4265148 .. 4265394 	 size=247 
CpG island 	 4282782 .. 4283229 	 size=448 
CpG island 	 4285937 .. 4286279 	 size=343 
CpG island 	 4295502 .. 4296001 	 size=500 
CpG island 	 4305497 .. 4305735 	 size=239 
CpG island 	 4314103 .. 4314546 	 size=444 
CpG island 	 4315413 .. 4315837 	 size=425 
CpG island 	 4325807 .. 4326111 	 size=305 
CpG island 	 4331239 .. 4331578 	 size=340 
